category,image_url
Fashion,https://www.pngmart.com/files/15/Girl-Wearing-Cap-PNG-Transparent-Image.png
Mobiles,https://openclipart.org/image/2400px/svg_to_png/216528/Mobile-Icon-White-on-Black.png
Electronic,https://pluspng.com/img-png/laptop-png-black-and-white-laptop-clip-art-at-vector-image-1000.png
Home,https://i.pinimg.com/736x/f5/62/c6/f562c63828cd73fe0d202f5dc44d4fee.jpg
Babycare,https://seeklogo.com/images/M/mother-and-baby-logo-20A921730B-seeklogo.com.png
Healthcare,https://clipart-library.com/new_gallery/35-352136_health-icon-public-health-health-black-and-white.png
Books,https://www.kindpng.com/picc/m/19-194673_book-stack-clipart-black-and-white-hd-png.png
